证券代码,证券名称,华泰借入数量(股),华泰借入期限(天),华泰借入利率,华泰融出数量(股),华泰融出期限(天),华泰融出利率,成交量(股),成交额(元),最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券偿还额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%),融券标的纳入日期,证监会行业,Wind行业,申银万国行业,中信证券行业,上市板块,所属省份,所属城市,flag
300901,中胤时尚,0,,3.0%,94800,7/14/28,6.0%,0,0.0,10.28,-74.6748854585047,0.0,88.6045,75.3414,13.2631,0.0,0.00168406683674642,2020-10-29,专业技术服务业,资本货物,服装家纺,品牌服饰,创业板,浙江省,温州市,0
300902,国安达,0,,2.0%,31000,7/14/28,6.0%,0,0.0,32.2,-46.7760051779935,0.0,901.0696,900.0497,1.0199,0.0,0.0128407510441677,2020-10-29,专用设备制造业,商业和专业服务,专用设备,专用机械,创业板,福建省,厦门市,0
300903,科翔股份,0,,2.0%,104000,7/14/28,6.0%,0,0.0,9.44,-70.4443428571429,0.0,90.7522,89.2122,1.54,0.0,0.000962661252212337,2020-11-05,计算机、通信和其他电子设备制造业,技术硬件与设备,元件,元器件,创业板,广东省,惠州市,0
300904,威力传动,224200,7/14,3.1%,10400,7/14/28,6.0%,0,0.0,114.0,-10.9375,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-09,通用设备制造业,资本货物,风电设备,电源设备,创业板,宁夏回族自治区,银川市,1
300905,宝丽迪,86300,7/14/28,3.2%,53600,7/14/28,8.0%,0,0.0,18.58,-61.6898641387419,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-05,橡胶和塑料制品业,材料Ⅱ,化学制品,其他化学制品Ⅱ,创业板,江苏省,苏州市,1
300906,日月明,274800,7/14/28,3.2%,40200,7/14/28,6.0%,0,0.0,26.8,-57.8493448957858,0.0,52.9493,43.5606,9.3887,0.0,0.00132651516860855,2020-11-05,铁路、船舶、航空航天和其他运输设备制造业,技术硬件与设备,通用设备,仪器仪表Ⅱ,创业板,江西省,南昌市,1
300907,康平科技,0,,2.0%,47400,7/14/28,5.0%,0,0.0,21.83,-62.4929606565573,0.0,3859.0425,2984.5566,874.4859,0.0,0.101364791016885,2020-11-18,通用设备制造业,资本货物,电机Ⅱ,通用设备,创业板,江苏省,苏州市,0
300908,仲景食品,1500,14/28,3.2%,24200,7/14/28,5.0%,4200,171696.0,39.9,-65.4801582781457,6.384,4447.4647,4404.9868,42.4779,0.00422136890181378,0.0707559786830286,2020-11-23,食品制造业,食品、饮料与烟草,调味发酵品Ⅱ,食品,创业板,河南省,南阳市,1
300909,汇创达,0,,2.0%,42600,7/14/28,6.0%,0,0.0,22.98,-61.2834020184097,0.0,141.633,141.2289,0.4041,0.0,0.00288604964938596,2020-11-18,计算机、通信和其他电子设备制造业,技术硬件与设备,光学光电子,其他电子零组件Ⅱ,创业板,广东省,深圳市,0
300910,瑞丰新材,200,3/7,3.0%,23100,7/14/28,6.0%,4800,234288.0,49.32,-4.48118986407767,809.4596,30239.2152,29611.4368,627.7784,0.0935899441464036,0.281639449969388,2020-11-27,化学原料和化学制品制造业,材料Ⅱ,化学制品,其他化学制品Ⅱ,创业板,河南省,新乡市,1
300911,亿田智能,18000,7/14/28,3.0%,25800,7/14/28,7.0%,0,0.0,37.8,-39.1222418474021,126.63,17435.7331,17197.3453,238.3878,0.0798886995407473,0.254058958508811,2020-12-03,电气机械和器材制造业,耐用消费品与服装,厨卫电器,厨房电器Ⅱ,创业板,浙江省,嵊州市,1
