证券代码,证券名称,华泰借入数量(股),华泰借入期限(天),华泰借入利率,华泰融出数量(股),华泰融出期限(天),华泰融出利率,成交量(股),成交额(元),最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券偿还额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%),融券标的纳入日期,证监会行业,Wind行业,申银万国行业,中信证券行业,上市板块,所属省份,所属城市,flag
600030,中信证券,0,,0.02 ,23973500,3-182,0.06 ,272700,6266646,23.97,-15.64002645,10103.9327,917818.1131,946668.6946,-28850.5815,0.037084177,0.540676425,,资本市场服务,多元金融,证券Ⅱ,证券Ⅱ,主板,广东省,深圳市,0
600031,三一重工,0,,0.02 ,1050500,7/14/28,0.05 ,0,0,15.75,-21.64161784,667.8882,812074.0545,808835.9202,3238.1343,0.005009986,0.454930926,,专用设备制造业,资本货物,工程机械,工程机械Ⅱ,主板,北京,北京市,0
600032,浙江新能,2928100,7月14日,0.03 ,90600,7/14/28,0.05 ,2700,29592,11.01,119.8337267,2469.4659,12105.8778,9565.9637,2539.9141,1.078331718,0.086374797,2022/10/24,电力、热力生产和供应业,公用事业Ⅱ,电力,发电及电网,主板,浙江省,杭州市,1
600033,福建高速,0,,0.02 ,1000,7/14/28,0.04 ,0,0,3.24,33.46523073,0,1782.1689,1783.1827,-1.0138,0,0.079462075,,道路运输业,运输,铁路公路,公路铁路,主板,福建省,福州市,0
600035,楚天高速,0,,0.02 ,250000,7/14/28,0.05 ,0,0,4.08,46.04759254,5.7936,1279.5207,1278.2259,1.2948,0.000881924,0.039064213,,道路运输业,运输,铁路公路,公路铁路,主板,湖北省,武汉市,0
600036,招商银行,0,,0.02 ,46981700,3-182,0.02 ,47500,1494350,31.88,-4.054339934,6397.0504,2702204.048,3008322.268,-306118.22,0.009727124,1.358436225,,货币金融服务,银行,股份制银行Ⅱ,全国性股份制银行Ⅱ,主板,广东省,深圳市,0
600037,歌华有线,0,,0.02 ,20523400,3-182,0.06 ,0,0,8.13,-41.85856459,256.3373,58070.8472,60164.3283,-2093.4811,0.022654336,0.49635086,,电信、广播电视和卫星传输服务,媒体Ⅱ,电视广播Ⅱ,媒体,主板,北京,北京市,0
600038,中直股份,0,,0.02 ,160700,7-42,0.05 ,100,3928,39.42,-32.52830552,1179.947,240315.4602,234816.9502,5498.51,0.050778425,0.777926825,,铁路、船舶、航空航天和其他运输设备制造业,资本货物,航空装备Ⅱ,航空航天,主板,黑龙江省,哈尔滨市,0
600039,四川路桥,0,,0.02 ,1087500,3月28日,0.04 ,0,0,9.29,248.5874466,666.7619,93769.8391,97810.9038,-4041.0647,0.010810178,0.444373596,,土木工程建筑业,资本货物,基础建设,建筑施工,主板,四川省,成都市,0
600048,保利发展,0,,0.03 ,1131900,3月28日,0.05 ,0,0,14.16,-3.148857281,4412.889,579577.3955,571165.823,8411.5725,0.026034516,0.639860385,,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,广东省,广州市,0
600050,中国联通,0,,0.02 ,2903600,7/14/28,0.06 ,0,0,5.06,2.027133657,1903.5128,376522.8151,374912.5344,1610.2807,0.012148567,0.596572725,,电信、广播电视和卫星传输服务,电信服务Ⅱ,通信服务,电信运营Ⅱ,主板,北京,北京市,0
600053,九鼎投资,0,,0.02 ,72000,7/14/28,0.06 ,0,0,13.65,-51.54888142,2.73,3977.1587,4382.5408,-405.3821,0.000461318,0.09379105,,其他金融业,多元金融,多元金融,资产管理Ⅱ,主板,江西省,南昌市,0
600055,万东医疗,5500,14,0.03 ,294400,3月28日,0.06 ,16500,296010,17.75,15.25489709,395.6901,35514.1518,35701.7964,-187.6446,0.041219919,0.243235934,,专用设备制造业,医疗保健设备与服务,医疗器械,其他医药医疗,主板,北京,北京市,1
600056,中国医药,65800,14,0.03 ,90200,7/14/28,0.07 ,0,0,13,19.17694765,2825.2497,101494.7369,100673.9845,820.7524,0.145334995,0.203137165,,批发业,医疗保健设备与服务,医药商业,其他医药医疗,主板,北京,北京市,1
